epoch,accuracy,loss,val_accuracy,val_loss
0,0.3479103147983551,1.3429843187332153,0.4149855971336365,1.2898675203323364
1,0.6241350769996643,1.0394861698150635,0.6282420754432678,0.9643923044204712
2,0.7893717288970947,0.6127554178237915,0.6858789920806885,0.7730541229248047
3,0.8447273969650269,0.4183931052684784,0.6974063515663147,0.7672855854034424
4,0.8815388679504395,0.3280148208141327,0.6916426420211792,0.8137872815132141
5,0.9097702503204346,0.26532283425331116,0.6916426420211792,0.8463980555534363
6,0.9280376434326172,0.22352367639541626,0.6772334575653076,0.9091259241104126
7,0.9440907835960388,0.1824539601802826,0.6685879230499268,0.9664763808250427
8,0.9537780284881592,0.1558661311864853,0.651296854019165,1.0388681888580322
9,0.9601439237594604,0.1372402459383011,0.6916426420211792,1.0868884325027466
10,0.9640188217163086,0.12240973860025406,0.6628242135047913,1.1269375085830688
11,0.9673401713371277,0.11223974823951721,0.6657060384750366,1.1967476606369019
12,0.9712150692939758,0.10422231256961823,0.6541786789894104,1.2406178712844849
13,0.9725989699363708,0.0973471999168396,0.6570605039596558,1.2831670045852661
14,0.971491813659668,0.09109120070934296,0.680115282535553,1.305985927581787
15,0.972045361995697,0.0808006227016449,0.6628242135047913,1.3538211584091187
16,0.9731525182723999,0.08505983650684357,0.6628242135047913,1.4271668195724487
17,0.9748131632804871,0.07587263733148575,0.680115282535553,1.4081388711929321
18,0.9786880612373352,0.07155586034059525,0.680115282535553,1.4370957612991333
19,0.977027416229248,0.07315438985824585,0.6541786789894104,1.435732126235962
20,0.9748131632804871,0.0758938193321228,0.6714697480201721,1.5021026134490967
21,0.9759202599525452,0.06970667093992233,0.6541786789894104,1.5405750274658203
22,0.9789648652076721,0.060745786875486374,0.6714697480201721,1.5078076124191284
23,0.9800719618797302,0.06360051780939102,0.6570605039596558,1.5717377662658691
24,0.9792416095733643,0.05954049900174141,0.6599423885345459,1.5769222974777222
